A,xsec,density,ev,rc1,rc2,nt,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,P1,P2,P3
140.12,232.675,6.637,300316,-0.77379,-0.4716,-0.01317,40443,6548.8,6164.2,5723.4,1434.6000000000001,1272.8,1185.4,901.3,883.3,289.6,223.3,207.2,110,110,85.9,,37.8,19.8,19.8,,,,,
140.9077,233.983,6.761,298637,-0.80832,-0.4914,-0.013552,41990.6,6834.8,6440.400000000001,5964.299999999999,1511,1337.3999999999999,1242.2,951.0999999999999,931,304.5,236.3,217.6,113.19999999999999,113.19999999999999,3.5,,37.400000000000006,22.3,22.3,,,,,
144.24,239.516,6.994,291738,-0.84384,-0.5124,-0.013692,43568.9,7126,6721.5,6207.900000000001,1575.3,1402.8,1297.4,999.5,977.7,315.2,243.29999999999998,224.6,117.5,117.5,3,,37.5,21.1,21.1,,,,,
145,240.778,7.2,290209,-0.88035,-0.5334,-0.014078,45184,7427.900000000001,7012.8,6459.3,1646.5,1471.4,1356.9,1051.5,1026.8999999999999,330.40000000000003,254.4,236,120.39999999999999,120.39999999999999,4,,37.5,21.1,21.1,,,,,
150.36,249.679,7.51,279864,-0.91787,-0.555,-0.014025,46834.200000000004,7736.799999999999,7311.8,6716.2,1722.8000000000002,1540.7,1419.8,1106,1080.2,345.7,265.6,247.4,129,129,5.5,,37.400000000000006,21.3,21.3,,,,,
151.96,252.336,5.228,276917,-0.95641,-0.5772,-0.014328,48519,8052,7617.099999999999,6976.9,1800,1613.8999999999999,1480.6,1160.6000000000001,1130.9,360.20000000000005,283.9,256.6,133.20000000000002,133.20000000000002,2.91151,,31.8,22,22,,,,,
157.25,261.12,7.877,267601,-0.99598,-0.6,-0.014289,50239.1,8375.6,7930.3,7242.8,1880.8,1688.3,1544,1217.2,1185.2,375.8,288.5,270.9,140.5,140.5,9.2794,8.524189999999999,36.1,20.299999999999997,20.299999999999997,,,,,
158.9254,263.902,8.214,264780,-1.0366,-0.6234,-0.014584,51995.7,8708,8251.6,7514,1967.5,1767.7,1611.3,1275,1241.2,397.9,310.2,285,147,147,9.4,8.6,39,25.4,25.4,,,,,
162.5,269.838,8.525,258956,-1.0783,-0.6474,-0.014705,53788.5,9045.8,8580.6,7790.099999999999,2046.8000000000002,1841.8000000000002,1675.6,1332.5,1294.8999999999999,416.3,331.8,292.9,154.20000000000002,154.20000000000002,4.2,4.2,62.9,26.3,26.3,,,,,
164.9304,273.874,8.769,255140,-1.121,-0.6714,-0.014931,55617.7,9394.199999999999,8917.8,8071.099999999999,2128.2999999999997,1922.8,1741.2,1391.5,1351.3999999999999,435.7,343.5,306.59999999999997,161,161,3.7,3.7,51.2,20.299999999999997,20.299999999999997,,,,,
167.26,277.742,9.039,251586,-1.1649,-0.6966,-0.015166,57485.5,9751.300000000001,9264.300000000001,8357.900000000001,2206.5,2005.7999999999997,1811.8000000000002,1453.3,1409.3,449.1,366.20000000000005,320,176.7,167.6,4.3,4.3,59.8,29.4,29.4,,,,,
168.9342,280.522,9.294,249093,-1.2098,-0.7224,-0.01546,59389.6,10115.7,9616.9,8648,2306.8,2089.7999999999997,1884.5,1514.6,1467.7,471.7,385.90000000000003,336.6,179.60000000000002,179.60000000000002,5.3,5.3,53.199999999999996,32.300000000000004,32.300000000000004,,,,,
173.04,287.34,6.953,243183,-1.2559,-0.7488,-0.015534,61332.299999999996,10486.4,9978.199999999999,8943.6,2398.1,2173,1949.8,1576.3,1527.8,487.20000000000005,396.7,343.5,198.1,184.9,6.3,6.3,54.1,23.400000000000002,23.400000000000002,,,,,
174.967,290.54,9.811,240504,-1.303,-0.7758,-0.015805,63313.8,10870.4,10348.599999999999,9244.1,2491.2000000000003,2263.5,2023.6000000000001,1639.3999999999999,1588.5,506.2,410.1,359.3,204.8,195,6.8999999999999995,6.8999999999999995,56.800000000000004,28,28,,,,,
178.49,296.39,13.29,235757,-1.3514,-0.8028,-0.015933,65350.80000000001,11270.699999999999,10739.4,9560.7,2600.9,2365.4,2107.6000000000004,1716.3999999999999,1661.7,538.1,437,380.40000000000003,223.8,213.7,17.1,17.1,64.9,38.1,30.599999999999998,5,,,,
180.9479,300.471,16.624,232555,-1.4008,-0.831,-0.016156,67416.4,11681.5,11136.1,9881.1,2708,2468.7000000000003,2194,1793.1999999999998,1735.1000000000001,565.5,464.8,404.5,241.29999999999998,229.3,25,25,71.1,44.900000000000006,36.4,5.7,,,,
