z,src,dest,satellite,probability,energy_eV
33,8,3,0,0.35,1317.0052095590627
33,5,4,0,0.01,1119.799380718025
33,5,3,0,0.01,1155.0604381693656
34,4,1,0,1.0,11222.624386351885
34,3,1,0,0.5,11181.633397043679
34,7,1,0,0.16,12496.138546745522
34,12,1,0,0.01,12652.480552810404
34,6,1,0,0.08,12489.844404349813
34,8,3,0,0.35,1419.2654070960841
34,5,4,0,0.01,1204.431585711091
34,5,3,0,0.01,1244.5712450622339
35,4,1,0,1.0,11924.537618356484
35,3,1,0,0.5,11877.927940938067
35,7,1,0,0.16,13291.757783970637
35,12,1,0,0.02,13469.807208689104
35,6,1,0,0.08,13284.921558937898
35,8,3,0,0.35,1525.9404491403147
35,5,4,0,0.01,1293.5230822441283
35,5,3,0,0.01,1339.645461189624
36,4,1,0,1.0,12650.156864921917
36,3,1,0,0.5,12598.73868845643
36,7,1,0,0.16,14113.168745941915
36,12,1,0,0.03,14315.227737339766
36,6,1,0,0.08,14105.140777371982
36,8,3,0,0.35,1636.5389048719605
36,7,2,0,0.01,1706.8307741340818
36,6,2,0,0.01,1697.483398591179
37,4,1,0,1.0,13395.730909524038
37,3,1,0,0.5,13336.078416794815
37,7,1,0,0.16,14961.648336281763
37,12,1,0,0.03,15185.766113430058
37,6,1,0,0.08,14952.085410583533
37,9,4,0,1.0,1694.1665063348007
37,8,4,0,0.1,1692.5937862022324
37,8,3,0,0.45,1752.203782318853
37,7,2,0,0.03,1826.6277835037379
37,6,2,0,0.03,1817.7633884073439
37,10,4,0,0.03,1775.2095792374175
37,5,4,0,0.03,1482.4260776830517
37,5,3,0,0.01,1541.8042334527106
37,12,9,0,0.1,96.33580997132846
38,4,1,0,1.0,14165.412269851211
38,3,1,0,0.5,14098.24402545964
38,7,1,0,0.16,15836.124691296649
38,12,1,0,0.03,16084.922021393044
38,6,1,0,0.08,15825.411632280262
38,9,4,0,1.0,1806.6122782697983
38,8,4,0,0.1,1804.7976976156122
38,8,3,0,0.45,1871.7702174413823
38,7,2,0,0.03,1947.2324951799803
38,6,2,0,0.03,1936.466239232495
38,10,4,0,0.03,1901.8604935205738
38,5,4,0,0.03,1582.1978437648313
38,5,3,0,0.01,1649.3619538532107
38,12,9,0,0.1,114.06089000285162
39,4,1,0,1.0,14958.760126574454
39,3,1,0,0.5,14883.162767312853
39,7,1,0,0.16,16738.33397681981
39,12,1,0,0.04,17015.836000370513
39,6,1,0,0.08,16726.14027913279
39,9,4,0,1.0,1922.593155828987
39,8,4,0,0.1,1920.508495199661
39,8,3,0,0.45,1995.88196125402
39,7,2,0,0.03,2072.205298721415
39,6,2,0,0.03,2060.0170709650038
39,10,4,0,0.03,2034.462069395486
39,5,4,0,0.03,1685.4150514946332
39,5,3,0,0.01,1760.9889417535396
39,12,9,0,0.1,132.74538269068492
40,4,1,0,1.0,15775.474588462039
40,3,1,0,0.5,15691.221595026223
40,7,1,0,0.18,17668.360684750503
40,12,1,0,0.04,17970.545915252227
40,6,1,0,0.09,17654.52347113683
40,9,4,0,1.0,2042.4048667012557
40,8,4,0,0.1,2039.951749532721
40,8,3,0,0.45,2124.472025927
40,7,2,0,0.03,2201.0329741363344
40,6,2,0,0.03,2187.4029645401406
40,10,4,0,0.03,2171.313767413876
40,13,3,0,0.01,2302.6983532325416
40,5,4,0,0.03,1792.067463078698
40,5,3,0,0.01,1876.5864086500435
40,12,9,0,0.1,151.0160626468937
41,4,1,0,1.0,16615.409733730867
41,3,1,0,0.5,16521.532358762823
41,12,1,0,0.04,18953.18995858807
41,6,1,0,0.07,18606.745420220865
41,9,4,0,1.0,2165.9274921492533
41,8,4,0,0.1,2163.0556610041995
41,8,3,0,0.45,2257.4183390036906
41,7,2,0,0.03,2334.8308431527953
41,6,2,0,0.03,2319.412354935922
41,10,4,0,0.03,2312.5769390464948
41,13,3,0,0.01,2461.908767361643
41,5,4,0,0.03,1902.2981992313078
